#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;False;True;unity;DeviceLocationProvider;20017036.213;20017114.078;45.0775710194133;7.66994249998059;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017036.713;20017114.578;45.0775731082196;7.66995227939178;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017037.213;20017115.078;45.0775751970259;7.66996205880297;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017037.713;20017115.578;45.0775772858321;7.66997183821417;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017038.213;20017116.078;45.0775793746384;7.66998161762536;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017038.713;20017116.578;45.0775814634447;7.66999139703655;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017039.213;20017117.078;45.077583552251;7.67000117644775;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017039.713;20017117.578;45.0775856410572;7.67001095585894;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017040.213;20017118.078;45.0775877298635;7.67002073527014;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017040.713;20017118.578;45.0775898186698;7.67003051468133;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017041.213;20017119.078;45.0775919074761;7.67004029409252;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017041.713;20017119.578;45.0775939962823;7.67005007350372;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017042.213;20017120.078;45.0775960850886;7.67005985291491;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017042.713;20017120.578;45.0775981738949;7.6700696323261;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017043.213;20017121.078;45.0776002627012;7.6700794117373;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017043.713;20017121.578;45.0776023515074;7.67008919114849;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017044.213;20017122.078;45.0776044403137;7.67009897055969;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017044.713;20017122.578;45.07760652912;7.67010874997088;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017045.213;20017123.078;45.0776086179263;7.67011852938207;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017045.713;20017123.578;45.0776107067325;7.67012830879327;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017046.213;20017124.078;45.0776127955388;7.67013808820446;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017046.713;20017124.578;45.0776148843451;7.67014786761565;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017047.213;20017125.078;45.0776169731514;7.67015764702685;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017047.713;20017125.578;45.0776190619576;7.67016742643804;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017048.213;20017126.078;45.0776211507639;7.67017720584924;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017048.713;20017126.578;45.0776232395702;7.67018698526043;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017049.213;20017127.078;45.0776253283765;7.67019676467162;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017049.713;20017127.578;45.0776274171827;7.67020654408282;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017050.213;20017128.078;45.077629505989;7.67021632349401;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017050.713;20017128.578;45.0776315947953;7.6702261029052;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017051.213;20017129.078;45.0776336836016;7.6702358823164;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017051.713;20017129.578;45.0776357724078;7.67024566172759;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017052.213;20017130.078;45.0776378612141;7.67025544113878;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017052.713;20017130.578;45.0776399500204;7.67026522054998;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017053.213;20017131.078;45.0776420388267;7.67027499996117;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017053.713;20017131.578;45.0776441276329;7.67028477937237;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017054.213;20017132.078;45.0776462164392;7.67029455878356;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017054.713;20017132.578;45.0776483052455;7.67030433819475;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017055.213;20017133.078;45.0776503940518;7.67031411760595;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017055.713;20017133.578;45.077652482858;7.67032389701714;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017056.213;20017134.078;45.0776545716643;7.67033367642833;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017056.713;20017134.578;45.0776566604706;7.67034345583953;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017057.213;20017135.078;45.0776587492768;7.67035323525072;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017057.713;20017135.578;45.0776608380831;7.67036301466192;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017058.213;20017136.078;45.0776629268894;7.67037279407311;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017058.713;20017136.578;45.0776650156957;7.6703825734843;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017059.213;20017137.078;45.0776671045019;7.6703923528955;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017059.713;20017137.578;45.0776691933082;7.67040213230669;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017060.213;20017138.078;45.0776712821145;7.67041191171788;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017060.713;20017138.578;45.0776733709208;7.67042169112908;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017061.213;20017139.078;45.077675459727;7.67043147054027;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017061.713;20017139.578;45.0776775485333;7.67044124995147;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017062.213;20017140.078;45.0776796373396;7.67045102936266;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017062.713;20017140.578;45.0776817261459;7.67046080877385;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017063.213;20017141.078;45.0776838149521;7.67047058818505;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017063.713;20017141.578;45.0776859037584;7.67048036759624;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017064.213;20017142.078;45.0776879925647;7.67049014700743;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017064.713;20017142.578;45.077690081371;7.67049992641863;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017065.213;20017143.078;45.0776921701772;7.67050970582982;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017065.713;20017143.578;45.0776942589835;7.67051948524102;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017066.213;20017144.078;45.0776963477898;7.67052926465221;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017066.713;20017144.578;45.0776984365961;7.6705390440634;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017067.213;20017145.078;45.0777005254023;7.6705488234746;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017067.713;20017145.578;45.0777026142086;7.67055860288579;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017068.213;20017146.078;45.0777047030149;7.67056838229698;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017068.713;20017146.578;45.0777067918212;7.67057816170818;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017069.213;20017147.078;45.0777088806274;7.67058794111937;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017069.713;20017147.578;45.0777109694337;7.67059772053056;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017070.213;20017148.078;45.07771305824;7.67060749994176;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017070.713;20017148.578;45.0777151470463;7.67061727935295;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017071.213;20017149.078;45.0777172358525;7.67062705876415;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017071.713;20017149.578;45.0777193246588;7.67063683817534;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017072.213;20017150.078;45.07772;7.67064;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017072.713;20017150.578;45.0777222903933;7.67064973417144;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017073.213;20017151.078;45.0777245807866;7.67065946834287;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017073.713;20017151.578;45.0777268711798;7.67066920251431;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017074.213;20017152.078;45.0777291615731;7.67067893668575;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017074.713;20017152.578;45.0777314519664;7.67068867085719;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017075.213;20017153.078;45.0777337423597;7.67069840502862;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017075.713;20017153.578;45.077736032753;7.67070813920006;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017076.213;20017154.078;45.0777383231462;7.6707178733715;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017076.713;20017154.578;45.0777406135395;7.67072760754294;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017077.213;20017155.078;45.0777429039328;7.67073734171437;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017077.713;20017155.578;45.0777451943261;7.67074707588581;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017078.213;20017156.078;45.0777474847194;7.67075681005725;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017078.713;20017156.578;45.0777497751126;7.67076654422869;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017079.213;20017157.078;45.0777520655059;7.67077627840012;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017079.713;20017157.578;45.0777543558992;7.67078601257156;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017080.213;20017158.078;45.0777566462925;7.670795746743;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017080.713;20017158.578;45.0777589366858;7.67080548091444;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017081.213;20017159.078;45.077761227079;7.67081521508587;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017081.713;20017159.578;45.0777635174723;7.67082494925731;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017082.213;20017160.078;45.0777658078656;7.67083468342875;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017082.713;20017160.578;45.0777680982589;7.67084441760019;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017083.213;20017161.078;45.0777703886521;7.67085415177162;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017083.713;20017161.578;45.0777726790454;7.67086388594306;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017084.213;20017162.078;45.0777749694387;7.6708736201145;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017084.713;20017162.578;45.077777259832;7.67088335428593;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017085.213;20017163.078;45.0777795502253;7.67089308845737;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017085.713;20017163.578;45.0777818406185;7.67090282262881;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017086.213;20017164.078;45.0777841310118;7.67091255680025;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017086.713;20017164.578;45.0777864214051;7.67092229097168;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017087.213;20017165.078;45.0777887117984;7.67093202514312;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017087.713;20017165.578;45.0777910021917;7.67094175931456;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017088.213;20017166.078;45.0777932925849;7.670951493486;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017088.713;20017166.578;45.0777955829782;7.67096122765743;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017089.213;20017167.078;45.0777978733715;7.67097096182887;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017089.713;20017167.578;45.0778;7.67098;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017090.213;20017168.078;45.0777917419904;7.67097436038368;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017090.713;20017168.578;45.0777834839808;7.67096872076736;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20017091.213;20017169.078;45.0777752259712;7.67096308115104;0.1;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
